v1x,v1y,v1,ext,extV,rot,v2x,v2y,v2,v2 angle,vdx,vdy
47.416885,123.655708,132.435257,0,-4.712057,0.005639,67.361908,-361.868195,368.084534,-1.386752,19.945023,-485.523903
13.625937,29.449787,32.449287,0.821131,-0.8729,0.389529,49.917274,-46.127151,67.966522,-0.745956,36.291338,-75.576939
35.8353,19.992271,41.034859,0.182755,-1.504015,0.000592,55.164291,-290.472595,295.664398,-1.383119,19.328991,-310.464867
46.21841,212.142914,217.119232,0.470038,-3.857943,0.089933,104.878418,-227.099991,250.147736,-1.13816,58.660007,-439.242905
-33.098949,-11.159044,34.929424,0.606024,-0.039118,0.380683,15.199956,-135.190155,136.041977,-1.458833,48.298905,-124.031111
45.357635,25.715416,52.140175,0.009969,-1.996886,0.01166,74.146301,-353.70401,361.392029,-1.36416,28.788666,-379.419426
16.937683,28.07802,32.791161,0.826612,-0.781785,0.471102,55.381889,-38.610107,67.512177,-0.608818,38.444206,-66.688128
36.427475,19.231529,41.192387,0.154216,-1.493074,0.010793,59.025558,-300.362366,306.107117,-1.376754,22.598083,-319.593895
30.045773,-41.503227,51.237354,0.147895,-1.048737,0.010352,49.285995,-301.45578,305.45816,-1.408737,19.240223,-259.952553
9.442121,21.789274,23.747128,0.764152,-0.625007,0.686845,68.493614,-49.53894,84.530952,-0.626169,59.051494,-71.328215
36.714954,17.63303,40.72974,0.16567,-1.409928,0.007304,58.151047,-296.061371,301.718231,-1.37685,21.436092,-313.694401
72.404343,179.414871,193.47374,0.826715,-1.478974,-0.308842,-23.37785,-126.123581,128.271912,-1.754073,-95.782192,-305.538452
42.194542,253.203949,256.695587,0.750265,-2.130023,-0.051459,16.661274,-181.835983,182.597702,-1.479423,-25.533268,-435.039932
40.908524,233.064957,236.627945,0.640585,-2.904142,-0.044467,16.40591,-202.722794,203.385559,-1.490044,-24.502613,-435.78775
34.261322,-7.507904,35.074303,0.041721,-1.654288,0.000342,54.294617,-340.315155,344.61908,-1.412588,20.033295,-332.807251
-26.44294,-8.894943,27.898909,0.559627,-0.046489,0.387834,28.677601,-149.044693,151.778534,-1.38071,55.120541,-140.14975
32.260342,-10.41967,33.901314,0.80417,0.642575,-0.022979,-2.913858,-61.037792,61.107304,-1.618499,-35.1742,-50.618122
35.646343,-28.873165,45.872883,0.122381,-1.260523,0.014383,56.265182,-310.029266,315.093506,-1.391267,20.618839,-281.156101
28.291155,184.751709,186.905289,0.523618,-3.467697,-0.152716,-35.937763,-212.472473,215.490311,-1.738351,-64.228918,-397.224182
-42.127453,9.653172,43.219276,0.174239,-1.056227,-0.003771,-62.992409,-291.547577,298.275116,-1.783588,-20.864956,-301.200748
4.587572,-11.756831,12.620178,0.715449,0.663472,-0.011658,-20.912601,-92.344543,94.682899,-1.793503,-25.500173,-80.587712
7.103767,136.772491,136.956848,0.788579,-1.708924,-0.111493,-31.88135,-112.597488,117.023994,-1.846718,-38.985117,-249.36998
3.51413,41.173168,41.322861,0.822023,-1.120339,-0.275927,-30.392708,-59.461208,66.778381,-2.043312,-33.906838,-100.634377
8.139627,150.434647,150.654694,0.78271,-1.758362,-0.172685,-45.187065,-115.277702,123.817688,-1.944374,-53.326692,-265.712349
35.054111,-22.734083,41.780731,0.108674,-1.096483,0.012981,56.49334,-315.015167,320.04071,-1.393347,21.439228,-292.281084
40.038441,21.984402,45.677025,0.135409,-1.651126,0.013894,64.526672,-307.228027,313.931122,-1.363777,24.488232,-329.212429
-9.350027,34.164764,35.421097,0.77193,-1.150105,-0.232117,-41.452045,-72.036987,83.111969,-2.092952,-32.102018,-106.201752
-22.859917,20.574173,30.755039,0.331423,-1.317073,-0.008425,-39.927166,-236.054214,239.407135,-1.738354,-17.067249,-256.628387
-51.202988,-6.322994,51.591919,0.21849,-0.249069,-0.012118,-72.650558,-272.825409,282.332794,-1.831047,-21.447571,-266.502415
36.515507,235.860458,238.670349,0.681818,-2.577599,-0.01918,21.587585,-185.264755,186.51825,-1.454797,-14.927921,-421.125214
-19.044653,53.811203,57.081909,0.924296,-0.600937,-0.058621,-20.23448,-37.928135,42.98811,-2.06088,-1.189827,-91.739338
-30.826622,81.15892,86.816193,0.167198,-3.585217,-0.006777,-53.31134,-305.4505,310.067902,-1.743589,-22.484718,-386.609421
-56.569565,-9.342471,57.335831,0.212734,-0.154049,-0.017609,-79.887589,-274.280029,285.677368,-1.854218,-23.318024,-264.937558
36.689644,216.693054,219.777176,0.714584,-2.313926,-0.147663,-21.485598,-166.021698,167.406204,-1.699495,-58.175241,-382.714752
-10.646038,31.900932,33.630455,0.872885,-0.763386,-0.386921,-41.008675,-32.210022,52.14592,-2.475791,-30.362637,-64.110954
-30.230593,-49.421555,57.934261,0.208449,-0.464971,-0.009872,-50.500389,-278.960938,283.495148,-1.749887,-20.269796,-229.539383
-11.162379,24.609392,27.0226,0.837326,-0.653585,-0.611124,-52.615108,-31.258205,61.199879,-2.605529,-41.452729,-55.867598
38.775543,187.638367,191.602966,0.518385,-3.507895,-0.147913,-22.720921,-217.042175,218.228195,-1.675101,-61.496464,-404.680542
36.060169,205.281082,208.424225,0.556225,-3.3958,-0.125694,-19.543989,-214.965424,215.852036,-1.661464,-55.604158,-420.246506
-29.380369,103.698547,107.780304,0.225708,-3.903474,-0.030638,-59.795025,-286.932098,293.096375,-1.77625,-30.414656,-390.630646
2.302432,104.860016,104.885292,0.554001,-2.794868,-0.160353,-49.393593,-169.238968,176.299622,-1.854766,-51.696024,-274.098984
-34.395176,35.617329,49.513859,0.082816,-2.273598,-0.011648,-59.381939,-329.234344,334.546661,-1.749242,-24.986763,-364.851673
-40.662102,-7.719796,41.388424,0.033059,-1.441397,-0.005425,-63.66098,-342.889343,348.748932,-1.754367,-22.998878,-335.169547
33.792336,-11.14594,35.583057,0.607056,-0.046029,-0.373902,-14.487743,-134.864227,135.640167,-1.677811,-48.280079,-123.718287
