v1x,v1y,tick,p2x,p2y
0,-777.80365,290,0,-1179.010498
0,-882.525085,323,0,-1480.015991
0,-952.551697,344,0,-1696.010864
0,-7.659322,4,0,-0.086664
0,-31.104189,14,0,-2.153647
0,-48.766254,22,0,-5.415938
0,-82.027748,36,0,-15.506204
0,-171.113953,73,0,-66.664726
0,-183.669128,78,0,-76.590622
0,-216.311447,91,0,-105.403831
0,-316.641235,130,0,-220.057755
0,-362.321716,147,0,-284.66214
0,-476.004944,188,0,-476.755127
0,-489.383789,193,0,-502.159668
0,-502.399963,198,0,-527.414734
0,-573.423279,222,0,-674.54657
0,-596.757385,230,0,-726.197266
0,-646.605164,247,0,-841.834045
0,-719.154968,271,0,-1022.580627
0,-763.039062,285,0,-1138.79126
0,-839.785522,309,0,-1353.919922
0,-843.791992,311,0,-1365.534912
0,-985.658203,354,0,-1802.030273
0,-50.620258,22,0,-5.863394
0,-67.237999,30,0,-10.387693
0,-136.914108,59,0,-42.97723
0,-152.519287,65,0,-53.185566
0,-190.090408,80,0,-81.93174
0,-213.201904,89,0,-102.491219
0,-328.069702,134,0,-235.524094
0,-437.055786,174,0,-406.076843
0,-593.626038,229,0,-719.172668
0,-625.609436,240,0,-792.256897
0,-624.321655,240,0,-789.244568
0,-690.984924,262,0,-950.681274
0,-700.552612,265,0,-974.862732
0,-737.118591,277,0,-1069.530762
0,-755.892822,283,0,-1119.515991
0,-760.17395,284,0,-1131.053467
0,-806.714844,299,0,-1259.395996
0,-907.058472,330,0,-1554.398193
0,-952.217773,344,0,-1694.949341
0,-961.408569,346,0,-1724.148193
0,-20.031292,9,0,-0.856513
0,-68.981735,30,0,-10.959032
0,-301.103912,124,0,-199.813385
0,-308.769653,127,0,-209.689117
0,-376.932281,152,0,-306.8974
0,-393.86911,159,0,-333.57077
0,-412.373138,165,0,-363.878571
0,-438.349792,175,0,-408.332825
0,-461.472504,183,0,-449.802429
0,-470.559937,186,0,-466.578949
0,-472.78595,187,0,-470.724426
0,-512.390747,201,0,-547.184143
0,-535.294861,209,0,-593.64563
0,-588.513489,228,0,-707.743835
0,-612.785767,236,0,-762.587524
0,-658.48407,251,0,-870.432983
0,-846.542358,311,0,-1373.56543
0,-873.663513,320,0,-1453.514526
0,-879.77417,322,0,-1471.771484
0,-927.914795,336,0,-1618.737183
0,-35.105541,16,0,-2.759442
0,-81.179321,35,0,-15.200732
0,-120.425468,52,0,-33.343018
0,-136.62851,59,0,-42.796097
0,-141.063553,60,0,-45.605095
0,-171.076767,73,0,-66.63578
0,-259.99115,108,0,-150.591339
0,-311.826874,128,0,-213.694351
0,-333.751343,136,0,-243.388077
0,-429.110657,171,0,-392.27298
0,-452.484375,180,0,-433.471771
0,-458.948425,182,0,-445.193481
0,-507.28125,199,0,-537.045166
0,-594.201599,229,0,-720.463928
0,-647.909546,248,0,-844.938721
