v1x,v1y,p1x,p1y,tick,p2x,p2y
495.812927,-160.943817,0,0,9,49.306656,-14.869719
-20.830313,513.963074,0,0,9,-2.071494,52.247147
-475.733856,-627.090332,0,0,9,-47.309875,-61.226173
-133.305588,800.732422,0,0,9,-13.25672,80.765236
-329.489441,558.273682,0,0,9,-32.766441,56.653664
-8.07545,31.583763,0,0,9,-0.803072,4.276403
-1.770918,-44.01564,0,0,10,-0.19557,-3.473494
141.794647,384.319183,0,0,10,15.659001,43.829388
-249.005371,-157.528915,0,0,10,-27.498755,-16.009264
587.852417,600.528259,0,0,10,64.919113,67.706299
495.812927,-160.943817,0,0,10,54.754784,-16.386389
-20.830313,513.963074,0,0,10,-2.300383,58.146538
-475.733856,-627.090332,0,0,10,-52.537369,-67.86499
-133.305588,800.732422,0,0,10,-14.721518,89.815727
-329.489441,558.273682,0,0,10,-36.386963,63.039951
-8.07545,31.583763,0,0,10,-0.891807,4.875278
-1.770918,-44.01564,0,0,11,-0.215008,-3.679758
141.794647,384.319183,0,0,11,17.215347,48.324554
-249.005371,-157.528915,0,0,11,-30.231853,-17.461458
587.852417,600.528259,0,0,11,71.371422,74.574585
495.812927,-160.943817,0,0,11,60.196857,-17.876066
-20.830313,513.963074,0,0,11,-2.529018,64.064682
-475.733856,-627.090332,0,0,11,-57.759056,-74.471123
-133.305588,800.732422,0,0,11,-16.184689,98.88147
-329.489441,558.273682,0,0,11,-40.00346,69.44445
-8.07545,31.583763,0,0,11,-0.980444,5.498797
-1.770918,-44.01564,0,0,12,-0.234424,-3.860485
141.794647,384.319183,0,0,12,18.769964,52.840034
-249.005371,-157.528915,0,0,12,-32.961914,-18.88673
587.852417,600.528259,0,0,12,77.816559,81.460548
495.812927,-160.943817,0,0,12,65.632881,-19.338779
-20.830313,513.963074,0,0,12,-2.757399,70.001556
-475.733856,-627.090332,0,0,12,-62.974941,-81.044609
-133.305588,800.732422,0,0,12,-17.646233,107.962448
-329.489441,558.273682,0,0,12,-43.61594,75.867142
-8.07545,31.583763,0,0,12,-1.068982,6.146932
-1.770918,-44.01564,0,0,13,-0.253819,-4.015703
141.794647,384.319183,0,0,13,20.322855,57.375805
-249.005371,-157.528915,0,0,13,-35.688942,-20.28511
587.852417,600.528259,0,0,13,84.254532,88.364174
495.812927,-160.943817,0,0,13,71.062866,-20.774559
-20.830313,513.963074,0,0,13,-2.985526,75.957146
-475.733856,-627.090332,0,0,13,-68.185028,-87.58548
-133.305588,800.732422,0,0,13,-19.106153,117.058647
-329.489441,558.273682,0,0,13,-47.224407,82.308006
-8.07545,31.583763,0,0,13,-1.157422,6.819655
-1.770918,-44.01564,0,0,14,-0.273192,-4.145439
141.794647,384.319183,0,0,14,21.87402,61.931843
-249.005371,-157.528915,0,0,14,-38.412941,-21.656628
587.852417,600.528259,0,0,14,90.685356,95.285439
495.812927,-160.943817,0,0,14,76.486816,-22.183434
-20.830313,513.963074,0,0,14,-3.213399,81.931427
-475.733856,-627.090332,0,0,14,-73.389328,-94.093773
-133.305588,800.732422,0,0,14,-20.564451,126.170044
-329.489441,558.273682,0,0,14,-50.828865,88.767021
-8.07545,31.583763,0,0,14,-1.245764,7.51694
-1.770918,-44.01564,0,0,15,-0.292543,-4.249723
141.794647,384.319183,0,0,15,23.423462,66.508125
-249.005371,-157.528915,0,0,15,-41.133915,-23.001312
587.852417,600.528259,0,0,15,97.109032,102.224319
495.812927,-160.943817,0,0,15,81.904739,-23.565435
-20.830313,513.963074,0,0,15,-3.44102,87.924377
-475.733856,-627.090332,0,0,15,-78.587845,-100.569527
-133.305588,800.732422,0,0,15,-22.02113,135.296631
-329.489441,558.273682,0,0,15,-54.429317,95.244171
-8.07545,31.583763,0,0,15,-1.334007,8.238758
-1.770918,-44.01564,0,0,16,-0.311873,-4.328582
141.794647,384.319183,0,0,16,24.971182,71.104637
-249.005371,-157.528915,0,0,16,-43.851864,-24.319195
587.852417,600.528259,0,0,16,103.525574,109.180801
