v1x,v1y,p1x,p1y,tick,p2x,p2y
736.290833,115.850967,0,0,11,89.393379,15.729714
674.697571,-331.922272,0,0,11,81.915321,-38.634636
26.13056,-917.368652,0,0,12,3.459015,-119.469994
-433.117126,74.536636,0,0,12,-57.333576,11.832788
19.919777,-73.228264,0,0,12,2.636867,-7.727486
9.950727,-8.261742,0,0,12,1.317221,0.872412
-97.219139,-821.547729,0,0,12,-12.869317,-106.785759
723.709961,-26.028719,0,0,12,95.800606,-1.479479
-127.339775,541.672729,0,0,12,-16.856516,73.669601
160.760147,-0.153447,0,0,12,21.280512,1.945742
736.290833,115.850967,0,0,12,97.465973,17.301743
674.697571,-331.922272,0,0,12,89.312614,-41.971935
26.13056,-917.368652,0,0,13,3.745188,-129.189896
-433.117126,74.536636,0,0,13,-62.076939,12.975918
19.919777,-73.228264,0,0,13,2.855022,-8.202631
9.950727,-8.261742,0,0,13,1.426198,1.10876
-97.219139,-821.547729,0,0,13,-13.934031,-115.456268
723.709961,-26.028719,0,0,13,103.726448,-1.437709
-127.339775,541.672729,0,0,13,-18.251101,79.928658
160.760147,-0.153447,0,0,13,23.041107,2.270889
736.290833,115.850967,0,0,13,105.529602,18.897333
674.697571,-331.922272,0,0,13,96.701691,-45.280216
26.13056,-917.368652,0,0,14,4.031044,-138.873688
-433.117126,74.536636,0,0,14,-66.815033,14.143086
19.919777,-73.228264,0,0,14,3.072935,-8.651939
9.950727,-8.261742,0,0,14,1.535054,1.370154
-97.219139,-821.547729,0,0,14,-14.997561,-124.091835
723.709961,-26.028719,0,0,14,111.643486,-1.370677
-127.339775,541.672729,0,0,14,-19.644136,86.20607
160.760147,-0.153447,0,0,14,24.799746,2.620984
736.290833,115.850967,0,0,14,113.584267,20.516459
674.697571,-331.922272,0,0,14,104.082558,-48.559513
26.13056,-917.368652,0,0,15,4.316582,-148.521423
-433.117126,74.536636,0,0,15,-71.547859,15.334267
19.919777,-73.228264,0,0,15,3.290605,-9.075439
9.950727,-8.261742,0,0,15,1.643789,1.656566
-97.219139,-821.547729,0,0,15,-16.05991,-132.69249
723.709961,-26.028719,0,0,15,119.551727,-1.278411
-127.339775,541.672729,0,0,15,-21.035624,92.501816
160.760147,-0.153447,0,0,15,26.556431,2.995999
736.290833,115.850967,0,0,15,121.629982,22.159094
674.697571,-331.922272,0,0,15,111.455223,-51.80986
26.13056,-917.368652,0,0,16,4.601803,-158.133118
-433.117126,74.536636,0,0,16,-76.275429,16.549433
19.919777,-73.228264,0,0,16,3.508034,-9.473161
9.950727,-8.261742,0,0,16,1.752404,1.967968
-97.219139,-821.547729,0,0,16,-17.121078,-141.258286
723.709961,-26.028719,0,0,16,127.45118,-1.160939
-127.339775,541.672729,0,0,16,-22.425566,98.815872
160.760147,-0.153447,0,0,16,28.311163,3.395905
736.290833,115.850967,0,0,16,129.666763,23.825212
674.697571,-331.922272,0,0,16,118.819695,-55.031284
26.13056,-917.368652,0,0,17,4.886707,-167.708832
-433.117126,74.536636,0,0,17,-80.997742,17.788557
19.919777,-73.228264,0,0,17,3.725221,-9.845132
9.950727,-8.261742,0,0,17,1.860897,2.304334
-97.219139,-821.547729,0,0,17,-18.181068,-149.789261
723.709961,-26.028719,0,0,17,135.341858,-1.018289
-127.339775,541.672729,0,0,17,-23.813963,105.148224
160.760147,-0.153447,0,0,17,30.063946,3.820676
736.290833,115.850967,0,0,17,137.694611,25.51479
674.697571,-331.922272,0,0,17,126.175987,-58.223824
26.13056,-917.368652,0,0,18,5.171294,-177.248596
-433.117126,74.536636,0,0,18,-85.714813,19.051613
19.919777,-73.228264,0,0,18,3.942167,-10.191381
9.950727,-8.261742,0,0,18,1.96927,2.665634
-97.219139,-821.547729,0,0,18,-19.23988,-158.285446
723.709961,-26.028719,0,0,18,143.22377,-0.850488
-127.339775,541.672729,0,0,18,-25.200817,111.498848
160.760147,-0.153447,0,0,18,31.814781,4.270283
736.290833,115.850967,0,0,18,145.713531,27.227797
674.697571,-331.922272,0,0,18,133.524109,-61.387505
26.13056,-917.368652,0,0,19,5.455565,-186.752457
-433.117126,74.536636,0,0,19,-90.426643,20.338573
19.919777,-73.228264,0,0,19,4.158872,-10.511936
9.950727,-8.261742,0,0,19,2.077523,3.051841
-97.219139,-821.547729,0,0,19,-20.297514,-166.746887
723.709961,-26.028719,0,0,19,151.096924,-0.657566
-127.339775,541.672729,0,0,19,-26.586132,117.867722
160.760147,-0.153447,0,0,19,33.563671,4.7447
